./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agents2Test 0.700000 0.968000 100 100 500 10 0 0 0 0 0.03 0.162 0.336 0.572 0.794 0.98 0.968
agents2Test 0.700000 0.900000 100 100 500 10 0 0 0 0 0.026 0.152 0.334 0.53 0.73 0.906 0.9
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.03 0.158 0.374 0.658 0.886 0.976 0.99
agents2Test 0.700000 0.864000 100 100 500 10 0 0 0 0 0.024 0.124 0.294 0.476 0.66 0.848 0.864
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.036 0.21 0.408 0.654 0.866 0.962 0.99
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.036 0.194 0.406 0.646 0.866 0.98 0.994
agents2Test 0.700000 1.000000 100 100 500 10 0 0 0 0 0.028 0.156 0.348 0.68 0.95 0.99 1
agents2Test 0.700000 0.972000 100 100 500 10 0 0 0 0 0.026 0.148 0.364 0.606 0.806 0.932 0.972
agents2Test 0.700000 0.978000 100 100 500 10 0 0 0 0 0.034 0.182 0.364 0.57 0.798 0.94 0.978
agents2Test 0.700000 0.962000 100 100 500 10 0 0 0 0 0.026 0.162 0.346 0.562 0.784 0.938 0.962
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.028 0.162 0.36 0.594 0.812 0.944 0.98
agents2Test 0.700000 0.978000 100 100 500 10 0 0 0 0 0.038 0.168 0.338 0.58 0.834 0.952 0.978
agents2Test 0.700000 0.974000 100 100 500 10 0 0 0 0 0.03 0.164 0.338 0.554 0.776 0.938 0.974
agents2Test 0.700000 0.932000 100 100 500 10 0 0 0 0 0.034 0.17 0.36 0.56 0.764 0.92 0.932
agents2Test 0.700000 0.996000 100 100 500 10 0 0 0 0 0.048 0.254 0.466 0.7 0.912 0.988 0.996
